>>>>>SOLUTION OF THE ODE<<<<< 

ODE equation : y'(t) = f(y(t), t) 

With : 
 y is of dimension : +3
 f is the function : identity

 The method used to resolved this equation is : forward_euler

Time          Values y
+0.000e+00   +1.500e+00 +2.000e+00 +5.500e+00
+5.000e-02   +1.575e+00 +2.100e+00 +5.775e+00
+1.000e-01   +1.654e+00 +2.205e+00 +6.064e+00
+1.500e-01   +1.736e+00 +2.315e+00 +6.367e+00
+2.000e-01   +1.823e+00 +2.431e+00 +6.685e+00
+2.500e-01   +1.914e+00 +2.553e+00 +7.020e+00
+3.000e-01   +2.010e+00 +2.680e+00 +7.371e+00
+3.500e-01   +2.111e+00 +2.814e+00 +7.739e+00
+4.000e-01   +2.216e+00 +2.955e+00 +8.126e+00
+4.500e-01   +2.327e+00 +3.103e+00 +8.532e+00
+5.000e-01   +2.443e+00 +3.258e+00 +8.959e+00
+5.500e-01   +2.566e+00 +3.421e+00 +9.407e+00
+6.000e-01   +2.694e+00 +3.592e+00 +9.877e+00
+6.500e-01   +2.828e+00 +3.771e+00 +1.037e+01
+7.000e-01   +2.970e+00 +3.960e+00 +1.089e+01
+7.500e-01   +3.118e+00 +4.158e+00 +1.143e+01
+8.000e-01   +3.274e+00 +4.366e+00 +1.201e+01
+8.500e-01   +3.438e+00 +4.584e+00 +1.261e+01
+9.000e-01   +3.610e+00 +4.813e+00 +1.324e+01
+9.500e-01   +3.790e+00 +5.054e+00 +1.390e+01
+1.000e+00   +3.980e+00 +5.307e+00 +1.459e+01
+1.050e+00   +4.179e+00 +5.572e+00 +1.532e+01
+1.100e+00   +4.388e+00 +5.851e+00 +1.609e+01
+1.150e+00   +4.607e+00 +6.143e+00 +1.689e+01
+1.200e+00   +4.838e+00 +6.450e+00 +1.774e+01
+1.250e+00   +5.080e+00 +6.773e+00 +1.862e+01
+1.300e+00   +5.334e+00 +7.111e+00 +1.956e+01
+1.350e+00   +5.600e+00 +7.467e+00 +2.053e+01
+1.400e+00   +5.880e+00 +7.840e+00 +2.156e+01
+1.450e+00   +6.174e+00 +8.232e+00 +2.264e+01
+1.500e+00   +6.483e+00 +8.644e+00 +2.377e+01
+1.550e+00   +6.807e+00 +9.076e+00 +2.496e+01
+1.600e+00   +7.147e+00 +9.530e+00 +2.621e+01
+1.650e+00   +7.505e+00 +1.001e+01 +2.752e+01
+1.700e+00   +7.880e+00 +1.051e+01 +2.889e+01
+1.750e+00   +8.274e+00 +1.103e+01 +3.034e+01
+1.800e+00   +8.688e+00 +1.158e+01 +3.185e+01
+1.850e+00   +9.122e+00 +1.216e+01 +3.345e+01
+1.900e+00   +9.578e+00 +1.277e+01 +3.512e+01
+1.950e+00   +1.006e+01 +1.341e+01 +3.688e+01
+2.000e+00   +1.056e+01 +1.408e+01 +3.872e+01
+2.050e+00   +1.109e+01 +1.478e+01 +4.066e+01
+2.100e+00   +1.164e+01 +1.552e+01 +4.269e+01
+2.150e+00   +1.222e+01 +1.630e+01 +4.482e+01
+2.200e+00   +1.284e+01 +1.711e+01 +4.706e+01
+2.250e+00   +1.348e+01 +1.797e+01 +4.942e+01
+2.300e+00   +1.415e+01 +1.887e+01 +5.189e+01
+2.350e+00   +1.486e+01 +1.981e+01 +5.448e+01
+2.400e+00   +1.560e+01 +2.080e+01 +5.721e+01
+2.450e+00   +1.638e+01 +2.184e+01 +6.007e+01
+2.500e+00   +1.720e+01 +2.293e+01 +6.307e+01
+2.550e+00   +1.806e+01 +2.408e+01 +6.622e+01
+2.600e+00   +1.896e+01 +2.529e+01 +6.954e+01
+2.650e+00   +1.991e+01 +2.655e+01 +7.301e+01
+2.700e+00   +2.091e+01 +2.788e+01 +7.666e+01
+2.750e+00   +2.195e+01 +2.927e+01 +8.050e+01
+2.800e+00   +2.305e+01 +3.073e+01 +8.452e+01
+2.850e+00   +2.420e+01 +3.227e+01 +8.875e+01
+2.900e+00   +2.541e+01 +3.389e+01 +9.318e+01
+2.950e+00   +2.668e+01 +3.558e+01 +9.784e+01
+3.000e+00   +2.802e+01 +3.736e+01 +1.027e+02
+3.050e+00   +2.942e+01 +3.923e+01 +1.079e+02
+3.100e+00   +3.089e+01 +4.119e+01 +1.133e+02
+3.150e+00   +3.244e+01 +4.325e+01 +1.189e+02
+3.200e+00   +3.406e+01 +4.541e+01 +1.249e+02
+3.250e+00   +3.576e+01 +4.768e+01 +1.311e+02
+3.300e+00   +3.755e+01 +5.006e+01 +1.377e+02
+3.350e+00   +3.943e+01 +5.257e+01 +1.446e+02
+3.400e+00   +4.140e+01 +5.520e+01 +1.518e+02
+3.450e+00   +4.347e+01 +5.796e+01 +1.594e+02
+3.500e+00   +4.564e+01 +6.085e+01 +1.673e+02
+3.550e+00   +4.792e+01 +6.390e+01 +1.757e+02
+3.600e+00   +5.032e+01 +6.709e+01 +1.845e+02
+3.650e+00   +5.283e+01 +7.044e+01 +1.937e+02
+3.700e+00   +5.548e+01 +7.397e+01 +2.034e+02
+3.750e+00   +5.825e+01 +7.767e+01 +2.136e+02
+3.800e+00   +6.116e+01 +8.155e+01 +2.243e+02
+3.850e+00   +6.422e+01 +8.563e+01 +2.355e+02
+3.900e+00   +6.743e+01 +8.991e+01 +2.472e+02
+3.950e+00   +7.080e+01 +9.440e+01 +2.596e+02
+4.000e+00   +7.434e+01 +9.912e+01 +2.726e+02
+4.050e+00   +7.806e+01 +1.041e+02 +2.862e+02
+4.100e+00   +8.196e+01 +1.093e+02 +3.005e+02
+4.150e+00   +8.606e+01 +1.147e+02 +3.156e+02
+4.200e+00   +9.036e+01 +1.205e+02 +3.313e+02
+4.250e+00   +9.488e+01 +1.265e+02 +3.479e+02
+4.300e+00   +9.963e+01 +1.328e+02 +3.653e+02
+4.350e+00   +1.046e+02 +1.395e+02 +3.836e+02
+4.400e+00   +1.098e+02 +1.464e+02 +4.027e+02
+4.450e+00   +1.153e+02 +1.538e+02 +4.229e+02
+4.500e+00   +1.211e+02 +1.615e+02 +4.440e+02
+4.550e+00   +1.272e+02 +1.695e+02 +4.662e+02
+4.600e+00   +1.335e+02 +1.780e+02 +4.895e+02
+4.650e+00   +1.402e+02 +1.869e+02 +5.140e+02
+4.700e+00   +1.472e+02 +1.963e+02 +5.397e+02
+4.750e+00   +1.546e+02 +2.061e+02 +5.667e+02
+4.800e+00   +1.623e+02 +2.164e+02 +5.950e+02
+4.850e+00   +1.704e+02 +2.272e+02 +6.248e+02
+4.900e+00   +1.789e+02 +2.386e+02 +6.560e+02
+4.950e+00   +1.879e+02 +2.505e+02 +6.888e+02
+5.000e+00   +1.973e+02 +2.630e+02 +7.233e+02
